"LICENSE /
LINE #",COMPANY NAME,"LICENSE
DATE","FROM
LOCATION","TO
LOCATION","LGTH
(kms)",STS,SUB,"H2S
(mol/
kmol)","OD
(mm)","WT
(mm)",MAT,TYPE,GRD,"MOP
(kpa)",JNT,"INTL
COAT","STRESS
LEVEL
(%)",ENV,FIELD
25941 -  1,ALPHABOW ENERGY LTD.,NOV 20 2008,1-19-55-18W5 BE,16-18-55-18W5 BE,0.4,D,OE,0,60.3,2.1,S,Z245.1,2902,0,W,U,0,  ,PINE CREEK
26352 -  1,ALPHABOW ENERGY LTD.,NOV 20 2008,4-30-55-18W5 B ,16-24-55-19W5 S ,1.2,O,NG,0,60.3,2.1,S,Z245.1,2902,5100,W,U,25,  ,PINE CREEK
29725 -  7,ALPHABOW ENERGY LTD.,NOV 20 2008,14-8-56-19W5 PL,3-21-56-19W5 S ,3.68,O,NG,0,60.3,3.2,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
31242 -  1,ALPHABOW ENERGY LTD.,JUL 31 1998,6-21-52-17W5 WE,6-21-52-17W5 PL,0.09,O,NG,0,88.9,3.2,S,Z245.1,2901,8960,W,U,43,  ,EDSON
32114 -  2,ALPHABOW ENERGY LTD.,APR 22 1999,11-22-55-19W5 WE,11-23-55-19W5 PL,2,O,NG,0,89,4,S,Z245.1,2901,6890,W,U,26,  ,PINE CREEK
32114 -  3,ALPHABOW ENERGY LTD.,MAR 20 2009,7-28-55-19W5 WE,2-28-55-19W5 PL,0.3,O,NG,0,88.9,3.2,S,Z245.1,3592,5100,W,U,20,  ,PINE CREEK
32114 -  4,ALPHABOW ENERGY LTD.,MAR 20 2009,11-22-55-19W5 CS,2-28-55-19W5 PL,2.11,O,NG,0,88.9,3.2,S,Z245.1,3592,5100,W,U,20,CC,PINE CREEK
32903 -  1,ALPHABOW ENERGY LTD.,NOV 20 2008,4-36-55-19W5 BE,11-25-55-19W5 BE,0.97,D,OE,0,60.3,3,S,Z245.1,2901,0,W,U,0,  ,PINE CREEK
33614 -  1,ALPHABOW ENERGY LTD.,MAY 18 2000,11-27-52-16W5 B ,15-33-52-16W5 PL,2.47,O,NG,0,82.6,3.6,A,6063  ,T1B ,5300,H,U,71,  ,EDSON
33615 -  1,ALPHABOW ENERGY LTD.,MAY 18 2000,15-22-52-16W5 WE,11-27-52-16W5 B ,1.79,O,OE,0,82.6,3.6,A,6063  ,T1B ,4960,H,U,66,  ,EDSON
33723 -  1,ALPHABOW ENERGY LTD.,JUN 9 2000,12-21-55-19W5 WE,11-22-55-19W5 CS,1.9,O,NG,0,82.6,3.6,A,6063  ,T1B ,5100,H,U,68,  ,PINE CREEK
33723 -  2,ALPHABOW ENERGY LTD.,NOV 20 2008,4-21-55-19W5 WE,12-21-55-19W5 PL,0.89,O,NG,0,114.3,3.2,S,Z245.1,2901,5100,W,U,31,  ,PINE CREEK
33723 -  3,ALPHABOW ENERGY LTD.,JUL 14 2004,12-21-55-19W5 PL,11-22-55-19W5 PL,1.84,O,NG,0,114.3,3.2,S,Z245.1,2901,5100,W,U,31,  ,PINE CREEK
33724 -  1,ALPHABOW ENERGY LTD.,JUN 9 2000,1-1-57-20W5 PL,16-31-56-19W5 PL,2.97,O,NG,0,82.6,3.6,A,6063  ,T1B ,5100,H,U,68,CC,PINE CREEK
33724 -  2,ALPHABOW ENERGY LTD.,JUN 9 2000,11-1-57-20W5 WE,3-1-57-20W5 PL,0.53,O,NG,0,82.6,3.6,A,6063  ,T1B ,5100,H,U,68,  ,PINE CREEK
33724 -  3,ALPHABOW ENERGY LTD.,JUN 9 2000,1-1-57-20W5 WE,1-1-57-20W5 PL,0.12,O,NG,0,82.6,3.6,A,6063  ,T1B ,5100,H,U,68,  ,PINE CREEK
33724 -  4,ALPHABOW ENERGY LTD.,NOV 30 2000,16-22-54-18W5 WE,13-23-54-18W5 PL,0.6,O,NG,0,88.9,3.2,S,Z245.1,2901,4970,W,U,24,  ,EDSON
33724 -  6,ALPHABOW ENERGY LTD.,OCT 5 2007,1-35-54-19W5 WE,2-36-54-19W5 PL,1.3,O,NG,0,82.6,3.6,A,6063  ,T1B ,5100,H,U,68,  ,PINE CREEK
33724 -  8,ALPHABOW ENERGY LTD.,MAR 5 2001,10-31-54-18W5 PL,7-4-55-18W5 PL,1.9,O,NG,0,82.6,3.6,A,6063  ,T1B ,5100,H,U,68,  ,PINE CREEK
33724 -  9,ALPHABOW ENERGY LTD.,DEC 27 2001,7-22-54-18W5 BE,16-22-54-18W5 BE,0.75,D,NG,0,88.9,3.2,S,Z245.1,2901,0,W,U,0,  ,EDSON
33724 -  10,ALPHABOW ENERGY LTD.,NOV 12 2002,11-31-56-19W5 WE,11-31-56-19W5 PL,0.12,O,NG,0,88.9,3.2,S,Z245.1,2901,5100,W,U,24,  ,PINE CREEK
33724 -  11,ALPHABOW ENERGY LTD.,MAY 5 2003,16-31-56-19W5 PL,1-32-56-19W5 PL,2.5,O,NG,0,88.9,3.2,S,Z245.1,2901,5100,W,U,24,CC,PINE CREEK
33724 -  12,ALPHABOW ENERGY LTD.,APR 29 2009,1-11-57-20W5 WE,1-1-57-20W5 PL,3.73,O,NG,0,82.6,3.6,A,6063  ,T1B ,5100,H,U,68,CC,PINE CREEK
33724 -  14,ALPHABOW ENERGY LTD.,APR 29 2009,11-11-57-20W5 PL,1-11-57-20W5 PL,1.05,O,NG,0,82.6,3.6,A,6063  ,T1B ,5100,H,U,68,  ,PINE CREEK
33724 -  15,ALPHABOW ENERGY LTD.,OCT 22 2010,9-28-54-18W5 WE,15-28-54-18W5 PL,0.73,O,NG,0,88.9,4,S,Z245.1,3592,5100,W,U,16,  ,PINE CREEK
33724 -  16,ALPHABOW ENERGY LTD.,FEB 24 2011,13-11-57-20W5 WE,11-11-57-20W5 PL,1.34,O,NG,0,88.9,4,S,Z245.1,3592,5100,W,U,16,  ,PINE CREEK
33724 -  17,ALPHABOW ENERGY LTD.,NOV 20 2008,1-32-56-19W5 PL,3-21-56-19W5 S ,3.95,O,NG,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
35488 -  1,ALPHABOW ENERGY LTD.,JUN 5 2001,8-7-53-18W5 WE,10-7-53-18W5 PL,0.57,O,NG,0,88.9,3.2,S,Z245.1,2901,8960,W,U,43,  ,EDSON
35488 -  2,ALPHABOW ENERGY LTD.,JUN 5 2001,10-7-53-18W5 WE,10-7-53-18W5 PL,0.23,O,NG,0,88.9,3.2,S,Z245.1,2901,8960,W,U,43,  ,EDSON
35634 -  1,ALPHABOW ENERGY LTD.,AUG 22 2001,10-31-51-17W5 WE,7-31-51-17W5 PL,0.28,O,NG,0,88.9,3.2,S,Z245.1,2901,8960,W,U,43,  ,EDSON
36536 -  1,ALPHABOW ENERGY LTD.,OCT 25 2001,2-19-53-20W5 WE,13-16-53-20W5 PL,2.6,O,NG,0,88.9,3.2,S,Z245.1,2901,9650,W,U,46,  ,ANSELL
36536 -  2,ALPHABOW ENERGY LTD.,MAR 24 2008,9-19-53-20W5 WE,1-19-53-20W5 PL,1.43,O,NG,0,88.9,3.2,S,Z245.1,3592,9650,W,U,37,  ,ANSELL
37145 -  1,ALPHABOW ENERGY LTD.,MAR 19 2002,13-31-52-19W5 WE,5-32-52-19W5 PL,2.36,O,NG,0,88.9,3.2,S,Z245.1,2901,2350,W,U,11,CC,EDSON
37145 -  2,ALPHABOW ENERGY LTD.,DEC 3 2009,7-1-53-20W5 WE,13-31-52-19W5 PL,0.93,O,NG,0,88.9,3.2,S,Z245.1,2901,2350,W,U,11,  ,EDSON
37616 -  1,ALPHABOW ENERGY LTD.,JUN 11 2002,10-36-53-18W5 WE,7-36-53-18W5 PL,0.6,O,NG,0,88.9,3.2,S,Z245.1,2901,8960,W,U,43,  ,EDSON
40455 -  1,ALPHABOW ENERGY LTD.,MAY 13 2004,2-2-59-18W5 WE,10-34-58-18W5 PL,0.78,O,NG,0,88.9,3.2,S,Z245.1,2901,9930,W,U,48,  ,KAYBOB SOUTH
40645 -  1,ALPHABOW ENERGY LTD.,MAR 3 1998,10-31-54-18W5 WE,8-5-55-18W5 PL,1.6,O,OE,0,88.9,14.22,P,3408  ,6   ,1040,B,U,25,  ,PINE CREEK
46360 -  1,ALPHABOW ENERGY LTD.,OCT 25 2006,14-4-60-21W5 WE,4-9-60-21W5 PL,1.04,O,NG,0,60.3,9.57,P,3408  ,6.3 ,1900,B,U,46,  ,KAYBOB SOUTH
46360 -  2,ALPHABOW ENERGY LTD.,OCT 25 2006,4-9-60-21W5 PL,10-9-60-21W5 PL,1.4,O,NG,0,60.3,9.57,P,3408  ,6.3 ,1900,B,U,46,  ,KAYBOB SOUTH
46360 -  3,ALPHABOW ENERGY LTD.,MAR 23 2007,10-7-60-21W5 WE,10-7-60-21W5 PL,0.17,O,NG,0,114.3,3.2,S,Z245.1,3592,7880,W,U,39,  ,KAYBOB SOUTH
46360 -  4,ALPHABOW ENERGY LTD.,MAY 22 2007,10-7-60-21W5 PL,7-8-60-21W5 PL,1.98,O,NG,0,114.3,3.2,S,Z245.1,3592,7880,W,U,39,CC,KAYBOB SOUTH
46360 -  7,ALPHABOW ENERGY LTD.,OCT 25 2006,4-9-60-21W5 PL,7-8-60-21W5 WE,0.7,O,NG,0,60.3,9.57,P,3408  ,6.3 ,1900,B,U,46,  ,KAYBOB SOUTH
46360 -  8,ALPHABOW ENERGY LTD.,JUL 26 2006,10-9-60-21W5 B ,15-9-60-21W5 PL,0.1,O,NG,0,114.3,3.2,S,Z245.1,3592,7880,W,U,39,CC,KAYBOB SOUTH
46360 -  9,ALPHABOW ENERGY LTD.,OCT 10 2006,7-8-60-21W5 WE,10-9-60-21W5 PL,2.33,O,NG,0,114.3,3.2,S,Z245.1,3592,7880,W,U,39,  ,KAYBOB SOUTH
46360 -  10,ALPHABOW ENERGY LTD.,OCT 10 2006,14-4-60-21W5 WE,4-9-60-21W5 PL,1.05,O,NG,0,114.3,3.2,S,Z245.1,3592,7880,W,U,39,  ,KAYBOB SOUTH
46360 -  11,ALPHABOW ENERGY LTD.,AUG 1 2007,1-8-60-21W5 WE,1-8-60-21W5 PL,0.11,O,NG,0,114.3,3.2,S,Z245.1,3592,7880,W,U,39,  ,KAYBOB SOUTH
46360 -  12,ALPHABOW ENERGY LTD.,OCT 23 2009,12-9-60-21W5 WE,6-9-60-21W5 PL,0.51,O,NG,0,114.3,3.2,S,Z245.1,3592,7880,W,U,39,  ,KAYBOB SOUTH
47342 -  1,ALPHABOW ENERGY LTD.,FEB 26 2007,1-13-61-21W5 PL,12-14-61-21W5 PL,2.93,O,SG,21,114.3,3.2,S,Z245.1,3592,9930,W,U,49,  ,KAYBOB SOUTH
48383 -  1,ALPHABOW ENERGY LTD.,OCT 2 2007,1-13-61-21W5 WE,16-13-61-21W5 PL,0.91,O,NG,0,114.3,3.2,S,Z245.1,3592,9680,W,U,48,CC,KAYBOB SOUTH
50451 -  1,ALPHABOW ENERGY LTD.,APR 22 2009,3-22-57-20W5 B ,6-22-57-20W5 CS,0.15,O,NG,0,88.9,4.8,S,Z245.1,3592,9930,W,U,26,  ,PINE CREEK
50451 -  2,ALPHABOW ENERGY LTD.,FEB 12 2011,1-33-57-20W5 BE,5-33-57-20W5 BE,1.25,D,NG,0,114.3,4.8,S,Z245.1,3592,0,W,U,0,CC,KAYBOB SOUTH
50590 -  1,ALPHABOW ENERGY LTD.,NOV 20 2008,16-16-56-19W5 BE,3-21-56-19W5 BE,1.17,D,OE,0,60.3,3.18,S,Z245.3,2901,0,W,U,0,  ,PINE CREEK
50590 -  4,ALPHABOW ENERGY LTD.,NOV 20 2008,15-21-56-19W5 WE,3-21-56-19W5 PL,2.78,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
50590 -  6,ALPHABOW ENERGY LTD.,NOV 20 2008,3-21-56-19W5 S ,7-10-56-19W5 B ,4.23,O,OE,0,114.3,4.78,S,Z245.3,2901,5100,W,U,21,  ,PINE CREEK
50590 -  8,ALPHABOW ENERGY LTD.,NOV 20 2008,4-15-56-19W5 WE,6-15-56-19W5 PL,0.36,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,PINE CREEK
50590 -  13,ALPHABOW ENERGY LTD.,NOV 20 2008,7-10-56-19W5 WE,7-10-56-19W5 B ,0.01,O,OE,0,60.3,3.18,S,Z245.3,2901,5100,W,U,17,  ,
51416 -  1,ALPHABOW ENERGY LTD.,MAR 4 2010,2-22-57-20W5 WE,3-22-57-20W5 B ,0.68,O,OE,0,114.3,4,S,Z245.1,3592,9930,W,U,40,  ,PINE CREEK
51416 -  2,ALPHABOW ENERGY LTD.,,11-22-57-20W5 BE,3-22-57-20W5 BE,0.55,D,OE,0,88.9,4,S,Z245.1,3592,0,W,U,0,  ,PINE CREEK
51416 -  4,ALPHABOW ENERGY LTD.,FEB 12 2011,4-34-57-20W5 BE,1-33-57-20W5 BE,0.73,D,OE,0,88.9,4,S,Z245.1,3592,0,W,U,0,CC,PINE CREEK
51590 -  1,ALPHABOW ENERGY LTD.,JUN 16 2010,9-12-60-23W5 WE,8-12-60-23W5 PL,0.46,O,NG,0,88.9,4,S,Z245.1,3592,7880,W,U,24,  ,BIGSTONE
51590 -  2,ALPHABOW ENERGY LTD.,JUN 17 2010,4-21-59-22W5 WE,13-16-59-22W5 PL,0.92,O,NG,0,88.9,4,S,Z245.1,3592,7880,W,U,24,  ,KAYBOB SOUTH
51780 -  1,ALPHABOW ENERGY LTD.,OCT 7 2010,6-2-59-22W5 WE,11-2-59-22W5 PL,0.58,O,NG,0,88.9,4,S,Z245.1,3592,9930,W,U,31,  ,KAYBOB SOUTH
52825 -  2,ALPHABOW ENERGY LTD.,SEP 14 2000,16-17-53-1W6 BE,9-21-53-1W6 BE,2,D,NG,0,114.3,4.8,S,Z245.1,3592,0,W,U,0,CC,SOLOMON
53535 -  1,ALPHABOW ENERGY LTD.,SEP 7 2012,13-13-61-21W5 WE,5-13-61-21W5 PL,1.05,O,NG,0,114.3,4,S,Z245.1,3592,9930,W,U,40,  ,KAYBOB SOUTH
53908 -  1,ALPHABOW ENERGY LTD.,JAN 20 2013,13-28-55-19W5 WE,9-29-55-19W5 PL,0.54,O,NG,0,168.3,4.8,S,Z245.1,3593,9930,W,U,48,  ,PINE CREEK
59567 -  1,ALPHABOW ENERGY LTD.,AUG 14 1996,16-34-64-19W5 PL,8-21-64-19W5 PL,1.09,O,NG,0.03,168.3,4.78,S,Z245.3,2901,9650,W,T,59,RC,KAYBOB
59567 -  2,ALPHABOW ENERGY LTD.,JUL 2 1993,8-21-64-19W5 PL,7-16-64-19W5 PL,2.1,O,NG,0.03,168.3,4.78,S,Z245.3,2901,9650,W,T,59,RC,KAYBOB
59567 -  3,ALPHABOW ENERGY LTD.,JUL 2 1993,7-16-64-19W5 PL,12-10-64-19W5 B ,1.3,O,NG,0.03,168.3,4.78,S,Z245.3,2901,9650,W,T,59,  ,KAYBOB
61058 -  1,ALPHABOW ENERGY LTD.,SEP 30 1998,2-28-55-19W5 PL,4-29-55-19W5 PL,1.72,O,NG,0,88.9,4,S,Z245.1,2902,9930,W,U,38,CC,
56757 -  2,ALPHABOW ENERGY LTD.,APR 20 2005,8-28-40-1W4 PL,10-21-40-1W4 WE,1.35,O,SW,0.45,168.3,4,S,Z245.1,3592,9000,W,E,53,  ,HAYTER
