Pipeline_ID,Licence_No,Substance,MAOP_kPa,Material,Length_m,Age_Years,H2S_Content,From_Location,To_Location,Base_Risk_Score,Risk_Multiplier,Final_Risk_Score,Priority,Restoration_Days,Applied_Multipliers,Water_Crossing,Corrosive_Environment
AB-17784-19,17784,Oil Well Effluent,5100.0,Steel,1200,25.0,0.0,02-17-055-18W5,12-09-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-17784-14,17784,Oil Well Effluent,5100.0,Steel,2190,25.0,0.0,11-17-055-18W5,12-09-055-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-36536-2,36536,Natural Gas,9650.0,Steel,1430,18.3,0.0,09-19-053-20W5,01-19-053-20W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-36536-1,36536,Natural Gas,9650.0,Steel,2600,24.1,0.0,02-19-053-20W5,13-16-053-20W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-37145-1,37145,Natural Gas,2350.0,Steel,2360,23.8,0.0,13-31-052-19W5,05-32-052-19W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-37145-2,37145,Natural Gas,2350.0,Steel,930,17.6,0.0,07-01-053-20W5,13-31-052-19W5,0.72,20.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x),False,False
AB-35488-1,35488,Natural Gas,2350.0,Steel,570,24.6,0.0,08-07-053-18W5,10-07-053-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-35488-2,35488,Natural Gas,2350.0,Steel,230,24.6,0.0,10-07-053-18W5,10-07-053-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-37616-1,37616,Natural Gas,8960.0,Steel,600,23.6,0.0,10-36-053-18W5,07-36-053-18W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-31242-1,31242,Natural Gas,8960.0,Steel,90,27.4,0.0,06-21-052-17W5,06-21-052-17W5,0.82,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-35634-1,35634,Natural Gas,8960.0,Steel,280,24.5,0.0,10-31-051-17W5,07-31-051-17W5,0.77,36.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); High pressure >500kPa (2.0x); Age >20 years (1.8x),False,False
AB-52825-2,52825,Natural Gas,,Steel,2000,25.3,0.0,16-17-053-01W6,09-21-053-01W6,0.62,18.0,1.0,EXTREME,7,CP inactive 18+ months (4.0x); Steel without CP (2.5x); Age >20 years (1.8x),False,False
